year,co2conc,ch4conc,n2oconc,totforc
2427,338.12955,1263.3139,339.20293,1.1707041
2428,337.95392,1263.3969,339.20061,1.1679572
2429,337.77057,1263.4057,339.19831,1.1650351
2430,337.59367,1263.3813,339.19603,1.1621907
2431,337.42997,1263.3522,339.19377,1.1595512
2432,337.27966,1263.3424,339.19153,1.1571366
2433,337.14036,1263.3774,339.18931,1.1549271
2434,337.00472,1263.4564,339.18711,1.1528056
2435,336.86458,1263.5603,339.18493,1.1506296
2436,336.71666,1263.6774,339.18277,1.1483385
2437,336.5612,1263.8031,339.18064,1.1459327
2438,336.39922,1263.9331,339.17852,1.1434256
2439,336.22635,1264.0157,339.17642,1.1407111
2440,336.04585,1264.0241,339.17433,1.1378223
2441,335.87182,1263.9994,339.17227,1.1350122
2442,335.71094,1263.9699,339.17023,1.1324073
2443,335.56338,1263.9597,339.1682,1.130027
2444,335.42672,1263.9944,339.1662,1.1278511
2445,335.29364,1264.0731,339.16421,1.1257623
2446,335.15604,1264.1765,339.16224,1.123618
2447,335.01065,1264.2933,339.16029,1.1213581
2448,334.85773,1264.4187,339.15835,1.118983
2449,334.69833,1264.5483,339.15643,1.1165065
2450,334.52811,1264.6306,339.15453,1.113823
2451,334.35035,1264.6387,339.15265,1.1109661
2452,334.17908,1264.6136,339.15079,1.1081887
2453,334.02092,1264.5838,339.14894,1.1056169
2454,333.876,1264.5732,339.14711,1.1032696
2455,333.74189,1264.6076,339.14529,1.1011259
2456,333.61127,1264.6858,339.14349,1.0990683
2457,333.4761,1264.789,339.14171,1.0969544
2458,333.33315,1264.9054,339.13995,1.0947242
2459,333.18269,1265.0304,339.1382,1.0923786
2460,333.02576,1265.1597,339.13646,1.0899313
2461,332.85808,1265.2417,339.13475,1.0872774
2462,332.68296,1265.2495,339.13304,1.084451
2463,332.51436,1265.224,339.13136,1.0817051
2464,332.35883,1265.1939,339.12969,1.079165
2465,332.21645,1265.183,339.12803,1.0768493
2466,332.08479,1265.217,339.12639,1.0747366
2467,331.95654,1265.2949,339.12476,1.0727089
2468,331.82371,1265.3977,339.12315,1.070624
2469,331.68311,1265.5138,339.12155,1.0684223
2470,331.535,1265.6385,339.11997,1.0661048
2471,331.38045,1265.7675,339.1184,1.0636856
2472,331.21523,1265.8491,339.11685,1.06106
2473,331.04267,1265.8566,339.11531,1.058263
2474,330.87664,1265.8309,339.11379,1.0555472
2475,330.72364,1265.8004,339.11227,1.0530378
2476,330.58372,1265.7892,339.11078,1.0507524
2477,330.45441,1265.8229,339.10929,1.0486693
2478,330.32845,1265.9005,339.10782,1.0466704
2479,330.19788,1266.0029,339.10636,1.0446134
2480,330.05953,1266.1187,339.10492,1.042439
2481,329.9137,1266.2431,339.10349,1.0401485
2482,329.76144,1266.3718,339.10207,1.0377561
2483,329.5986,1266.4531,339.10067,1.0351578
2484,329.4285,1266.4603,339.09927,1.032389
2485,329.26495,1266.4342,339.0979,1.0297022
2486,329.11439,1266.4035,339.09653,1.0272222
2487,328.97684,1266.3919,339.09517,1.0249661
2488,328.84981,1266.4253,339.09383,1.0229116
2489,328.72606,1266.5026,339.0925,1.0209402
2490,328.59766,1266.6047,339.09118,1.01891
2491,328.46149,1266.7202,339.08988,1.0167619
2492,328.31785,1266.8443,339.08858,1.0144973
2493,328.16781,1266.9727,339.0873,1.0121306
2494,328.00726,1267.0538,339.08603,1.0095585
2495,327.83954,1267.0607,339.08477,1.0068168
2496,327.6784,1267.0343,339.08352,1.0041581
2497,327.53021,1267.0033,339.08229,1.0017064
2498,327.39495,1266.9914,339.08106,0.99947854
2499,327.27012,1267.0245,339.07985,0.99745153
2500,327.2098,1267.0549,339.07925,0.9964818
